date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:32	10947/10947	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Mar%202022%2015:23:02%20GMT	https://www.enableds.com/products/appkit/v25/	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/index.html	(from )
10:59:32	147/147	U-----	200	untouched ('OK')	text/plain	date:Thu,%2008%20Dec%202022%2001:30:09%20GMT	https://www.enableds.com/robots.txt		(from )
10:59:33	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2008%20Dec%202022%2003:59:35%20GMT	https://www.enableds.com/products/appkit/v25/styles/bootstrap.css	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/styles/bootstrap.css	(from https://www.enableds.com/products/appkit/v25/)
10:59:34	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2008%20Dec%202022%2003:59:36%20GMT	https://www.enableds.com/products/appkit/v25/fonts/css/fontawesome-all.min.css	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/fonts/css/fontawesome-all.min.css	(from https://www.enableds.com/products/appkit/v25/)
10:59:34	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2008%20Dec%202022%2003:59:36%20GMT	https://www.enableds.com/products/appkit/v25/_manifest.json	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/_manifest.json	(from https://www.enableds.com/products/appkit/v25/)
10:59:35	8617/8617	---M--	200	added ('OK')	image/png	etag:%22621f8be9-21a9%22	https://www.enableds.com/products/appkit/v25/app/icons/icon-192x192.png	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/app/icons/icon-192x192.png	(from https://www.enableds.com/products/appkit/v25/)
10:59:35	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2008%20Dec%202022%2003:59:37%20GMT	https://www.enableds.com/products/appkit/v25/index.html	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/index-2.html	(from https://www.enableds.com/products/appkit/v25/)
10:59:36	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2008%20Dec%202022%2003:59:38%20GMT	https://www.enableds.com/products/appkit/v25/index-components.html	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/index-components.html	(from https://www.enableds.com/products/appkit/v25/)
10:59:37	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2008%20Dec%202022%2003:59:39%20GMT	https://www.enableds.com/products/appkit/v25/index-pages.html	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/index-pages.html	(from https://www.enableds.com/products/appkit/v25/)
10:59:37	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2008%20Dec%202022%2003:59:39%20GMT	https://www.enableds.com/products/appkit/v25/index-projects.html	D:/xampp/htdocs/source/tes/SalesTunasToyota/www.enableds.com/products/appkit/v25/index-projects.html	(from https://www.enableds.com/products/appkit/v25/)
